GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openhre,com.browsersoft.aacs,LdapService.roleComparator,16,6,0,0,4,1,1,1,1,1
openhre,com.browsersoft.aacs,Group,13,365,1,19,5,115,3,74,2,65
openhre,com.browsersoft.aacs,StreamHandler,12,43,3,3,4,14,2,4,0,3
openhre,com.browsersoft.aacs,Person,72,875,5,31,20,218,6,107,2,93
openhre,com.browsersoft.aacs,User,448,492,33,27,78,118,40,42,17,35
openhre,com.browsersoft.openhre.hl7.impl,HL7DefaultConvertorImpl,125,7,8,0,29,2,13,1,9,1
openhre,com.browsersoft.openhre.hl7.impl,MessageTranslatorImpl,19,2,0,0,3,1,1,1,1,1
openhre,com.browsersoft.openhre.hl7.impl,HL7DefaultConfigurationMakerImpl,192,3,0,0,50,1,2,1,2,1
openhre,com.browsersoft.openhre.hl7.impl.parser,HL7CheckerStateImpl,291,475,25,40,67,125,18,59,0,44
openhre,com.browsersoft.openhre.hl7.impl.parser,StringDataTypeReader,0,4,0,0,0,2,0,2,0,2
openhre,com.browsersoft.openhre.hl7.impl.parser,HL7SAXEventGeneratorImpl,149,83,4,10,32,31,10,20,6,17
openhre,com.browsersoft.openhre.hl7.impl.parser,SAXEvents2HL7Impl,189,178,28,11,46,61,18,25,0,20
openhre,com.browsersoft.openhre.hl7.impl.parser,XML2HL7Impl,80,58,8,6,26,27,7,20,3,17
openhre,com.browsersoft.openhre.hl7.impl.parser,HL7ParserImpl,623,61,123,5,126,15,65,6,3,4
openhre,com.browsersoft.openhre.hl7.impl.parser,HL7CheckerUtils,0,3,0,0,0,1,0,1,0,1
openhre,com.browsersoft.openhre.hl7.impl.parser,XMLUtils,13,157,9,11,1,25,6,7,0,3
openhre,com.browsersoft.openhre.hl7.impl.parser,NumericDataTypeReader,5,18,0,2,3,6,0,3,0,2
openhre,com.browsersoft.openhre.hl7.impl.parser,HL7CheckerImpl,380,257,52,34,86,78,50,31,10,28
openhre,com.browsersoft.openhre.hl7.impl.parser,HL72XMLImpl,190,49,4,10,42,17,15,11,12,7
openhre,com.browsersoft.openhre.hl7.api.config,InvalidConfigDataStructureException,6,9,0,0,2,4,2,1,2,1
openhre,com.browsersoft.openhre.hl7.api.regular,InvalidExpressionException,0,3,0,0,0,1,0,1,0,1
openhre,com.browsersoft.aacs.xacml,RequestBuilder,8,169,0,8,1,30,0,9,0,5
openhre,com.browsersoft.aacs.xacml,FilePolicyModule,134,41,15,1,35,12,12,5,4,5
openhre,com.browsersoft.aacs.xacml,PDPadapter,62,29,2,0,20,8,3,2,2,2
openhre,com.browsersoft.servlet.util,ClientHttpRequest,439,93,23,5,111,20,46,8,33,7
openhre,com.browsersoft.servlet.util,ResponseHeaderFilter,47,24,2,0,12,7,2,3,1,3
openhre,com.browsersoft.openhre.hl7.impl.regular,ExpressionImpl,0,214,0,33,0,62,0,32,0,12
openhre,com.browsersoft.openhre.hl7.impl.regular,ExpressionNodeList,0,133,0,22,0,31,0,21,0,10
openhre,com.browsersoft.openhre.hl7.impl.regular,MessageTracerImpl,279,183,28,18,71,54,20,22,2,16
openhre,com.browsersoft.openhre.hl7.impl.regular,ExpressionMatrixImpl,35,398,11,43,4,64,10,26,0,9
openhre,com.browsersoft.openhre.hl7.impl.regular,ExpressionNodeWithLevel,0,38,0,0,0,11,0,6,0,6
openhre,com.browsersoft.openhre.hl7.impl.regular,ExpressionElementMapperImpl,0,90,0,14,0,22,0,15,0,8
openhre,com.browsersoft.openhre.hl7.impl.regular,NodeStack,0,31,0,2,0,8,0,4,0,3
openhre,com.browsersoft.openhre.hl7.impl.regular,Connection,0,24,0,0,0,10,0,7,0,7
openhre,com.browsersoft.openhre.hl7.impl.regular,ExpressionElementMapperItemImpl,2,56,1,4,1,15,1,11,0,8
openhre,com.browsersoft.openhre.hl7.impl.regular,ExpressionMatrixBuilderImpl,2,336,3,44,1,85,3,29,0,7
openhre,com.browsersoft.openhre.hl7.impl.regular,ExpressionPartImpl,0,40,0,6,0,14,0,11,0,6
openhre,com.browsersoft.openhre.hl7.impl.regular,ConnectionList,0,89,0,14,0,22,0,15,0,8
ipcalculator,ipac,IPv4.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv4.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv4.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv4.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv4.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv4.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv4.new MouseAdapter() {...},21,9,2,0,7,1,4,1,3,1
ipcalculator,ipac,IPv4.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv4.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv4.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv4.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv6.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv4.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv4.new MouseAdapter() {...},21,9,2,0,7,1,4,1,3,1
ipcalculator,ipac,IPv6.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv4.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv6.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv4.new AbstractAction() {...},13,7,0,0,3,1,1,1,1,1
ipcalculator,ipac,IPv6.new MouseAdapter() {...},21,9,2,0,7,1,4,1,3,1
ipcalculator,ipac,IPv4.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv4.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv4.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv6.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv4.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv6.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,Output.new ActionListener() {...},4,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,Output.new ActionListener() {...},4,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,Output.new ActionListener() {...},13,6,0,0,5,1,1,1,1,1
ipcalculator,ipac,IPv6.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv6.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv6.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv6.new AbstractAction() {...},13,7,0,0,3,1,1,1,1,1
ipcalculator,ipac,IPv6.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,WhoISOutput.new ActionListener() {...},15,0,0,0,3,0,2,0,2,0
ipcalculator,ipac,IPAC,435,0,8,0,92,0,10,0,6,0
ipcalculator,ipac,IPv6.new MouseAdapter() {...},21,9,2,0,7,1,4,1,3,1
ipcalculator,ipac,WhoISOutput.new ActionListener() {...},21,0,0,0,6,0,2,0,2,0
ipcalculator,ipac,IPv6.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,WhoISOutput.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
ipcalculator,ipac,IPv6.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv6.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv6.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPAC_Applet,416,0,8,0,89,0,11,0,7,0
ipcalculator,ipac,URLOpener,133,9,11,1,20,3,6,1,0,1
ipcalculator,ipac,GPLReader,79,0,2,0,21,0,2,0,1,0
ipcalculator,ipac,IPAC_Applet.new Runnable() {...},10,0,0,0,3,0,2,0,2,0
ipcalculator,ipac,Output,137,138,6,0,29,30,4,1,1,1
ipcalculator,ipac,IPAC_Applet.new ActionListener() {...},9,0,0,0,3,0,2,0,2,0
ipcalculator,ipac,IPAC_Applet.new ActionListener() {...},14,0,0,0,3,0,2,0,2,0
ipcalculator,ipac,IPAC_Applet.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ipcalculator,ipac,WhoIS.new MouseAdapter() {...},22,6,2,0,7,1,4,1,3,1
ipcalculator,ipac,IPAC.new ActionListener() {...},14,0,0,0,3,0,2,0,2,0
ipcalculator,ipac,WhoIS.new AbstractAction() {...},8,7,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPAC.new ActionListener() {...},9,0,0,0,3,0,2,0,2,0
ipcalculator,ipac,IPv4,1195,1133,115,7,270,237,78,11,18,10
ipcalculator,ipac,WhoIS.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv6.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,WhoIS.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPAC.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
ipcalculator,ipac,IPv6.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,WhoIS.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,WhoISOutput,227,0,4,0,53,0,4,0,2,0
ipcalculator,ipac,IPv6.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,WhoIS.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv6.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,WhoIS.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv6.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv6.new MouseAdapter() {...},21,9,2,0,7,1,4,1,3,1
ipcalculator,ipac,IPv6,1101,1133,105,7,249,237,72,11,17,10
ipcalculator,ipac,IPv6.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv6.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv6.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,WhoIS,264,783,26,2,50,160,18,9,4,9
ipcalculator,ipac,IPv6.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv4.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv6.new AbstractAction() {...},13,7,0,0,3,1,1,1,1,1
ipcalculator,ipac,IPv6.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv4.new AbstractAction() {...},13,7,0,0,3,1,1,1,1,1
ipcalculator,ipac,IPv4.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,BinaryCalculate,84,1342,7,93,19,229,6,56,0,12
ipcalculator,ipac,IPv4.new MouseAdapter() {...},21,9,2,0,7,1,4,1,3,1
ipcalculator,ipac,IPv4.new KeyAdapter() {...},8,6,2,0,3,1,2,1,1,1
ipcalculator,ipac,IPv4.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv4.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv4.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
ipcalculator,ipac,IPv4.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
xisemele,net.sf.xisemele.impl,ElementImpl,170,13,6,0,26,5,21,1,18,1
xisemele,net.sf.xisemele.impl,ReaderImpl,32,13,0,0,5,5,5,1,5,1
xisemele,net.sf.xisemele.impl,XisemeleFactory,0,16,0,0,0,3,0,2,0,2
xisemele,net.sf.xisemele.impl,OperationsHelperImpl,59,91,13,13,9,24,8,10,0,5
xisemele,net.sf.xisemele.impl,OperationsImpl,162,48,24,4,22,13,27,5,13,5
xisemele,net.sf.xisemele.impl,EditorImpl,130,6,0,0,41,3,21,1,21,1
xisemele,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},5,6,0,0,1,1,1,1,1,1
xisemele,net.sf.xisemele.impl,DateFormatter,12,17,0,0,2,6,0,4,0,4
xisemele,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},5,6,0,0,1,1,1,1,1,1
xisemele,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},5,6,0,0,1,1,1,1,1,1
xisemele,net.sf.xisemele.impl,WithinContextImpl,0,14,0,0,0,6,0,4,0,4
xisemele,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},5,6,0,0,1,1,1,1,1,1
xisemele,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},5,6,0,0,1,1,1,1,1,1
xisemele,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},5,6,0,0,1,1,1,1,1,1
xisemele,net.sf.xisemele.impl,ValueListImpl,80,227,0,26,26,42,0,27,0,14
xisemele,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},5,6,0,0,1,1,1,1,1,1
xisemele,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},7,6,0,0,1,1,1,1,1,1
xisemele,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},7,6,0,0,1,1,1,1,1,1
xisemele,net.sf.xisemele.impl,AttributeImpl,16,31,3,3,1,10,3,5,1,4
xisemele,net.sf.xisemele.impl,ValueImpl,132,33,2,2,17,11,15,5,14,4
xisemele,net.sf.xisemele.impl,NullErrorHandler,0,6,0,0,0,4,0,4,0,4
xisemele,net.sf.xisemele.impl,MessageImpl,9,3,0,0,2,1,1,1,1,1
xisemele,net.sf.xisemele.impl,WriterEditorImpl,409,40,36,0,93,12,41,2,23,2
xisemele,net.sf.xisemele.impl,FormatterProviderImpl,0,21,0,0,0,5,0,3,0,3
xisemele,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},6,9,0,0,1,1,1,1,1,1
xisemele,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},4,6,0,0,1,1,1,1,1,1
xisemele,net.sf.xisemele.impl,XisemeleImpl,281,13,0,0,36,5,10,1,10,1
xisemele,net.sf.xisemele.impl,ValueImpl.new ValueImpl.Parser() {...},4,6,0,0,1,1,1,1,1,1
xisemele,net.sf.xisemele.impl,NullValue,0,38,0,0,0,17,0,17,0,17
xisemele,net.sf.xisemele.impl,ResultImpl,189,12,2,0,36,4,8,1,7,1
xisemele,net.sf.xisemele.impl,WriterImpl,67,6,0,0,20,3,10,1,10,1
xisemele,net.sf.xisemele.impl,ValidationsImpl,26,52,0,10,3,13,0,9,0,4
xisemele,net.sf.xisemele.impl,FactoryImpl,77,147,1,5,13,33,7,18,6,16
xisemele,net.sf.xisemele.exception,XisemeleException,22,0,0,0,6,0,3,0,3,0
xisemele,net.sf.xisemele.exception,ChildNotFoundException,10,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,ValueNotPermittedException,10,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,WithinContextDuplicateException,6,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,TransformException,7,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,FormatterNotConfiguredException,11,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,RootDuplicateException,14,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,WithinContextNotPermittedException,10,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,AttributeNotPermittedException,6,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,NotWithinContextException,6,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,ParseXMLException,7,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,RemoveRootNotPermittedException,10,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,FormatterException,31,0,0,0,4,0,2,0,2,0
xisemele,net.sf.xisemele.exception,XisemeleIOException,12,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,ElementIndexOutOfBoundsException,15,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,InvalidNameException,10,0,0,0,2,0,1,0,1,0
xisemele,net.sf.xisemele.exception,ElementNotFoundException,10,0,0,0,2,0,1,0,1,0
mygrid,mygrid.web,_AvailableJobsResponse,14,137,6,16,2,37,5,15,0,9
mygrid,mygrid.web,ArrayOfString,23,158,6,22,5,43,7,18,2,9
mygrid,mygrid.web,ContextElement,14,195,6,26,2,50,5,22,0,11
mygrid,mygrid.web,_FailResponse,14,77,6,6,2,24,5,8,0,7
mygrid,mygrid.web,_Request,14,137,6,16,2,37,5,15,0,9
mygrid,mygrid.web,_GetEngine,14,77,6,6,2,24,5,8,0,7
mygrid,mygrid.web,ArrayOfContextElement,23,158,6,22,5,43,7,18,2,9
mygrid,mygrid.web,GridJobStatus,3,81,0,4,1,20,1,10,1,8
mygrid,mygrid.web,_Logon,14,253,6,36,2,63,5,29,0,13
mygrid,mygrid.web,_ProgressResponse,14,77,6,6,2,24,5,8,0,7
mygrid,mygrid.web,_RequestResponse,14,124,6,8,2,34,5,11,0,9
mygrid,mygrid.web,_SetEngineInfoResponse,14,77,6,6,2,24,5,8,0,7
mygrid,mygrid.web,Dependency,14,195,6,26,2,50,5,22,0,11
mygrid,mygrid.web,MyGridServiceLocator,38,109,3,7,12,27,2,13,0,10
