GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Scenario,Token
fixsuite,org.fixsuite.message.view,ListView.MessageListModel,24,0,2,0,6,0,3,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message.view,AboutDialog,335,0,14,0,68,0,17,0,10,0,scenario1,2000
fixsuite,org.fixsuite.message.view,ListView,762,0,36,0,168,0,23,0,5,0,scenario1,2000
fixsuite,org.fixsuite.message.view,DetailsPanel,1471,0,38,0,292,0,34,0,15,0,scenario1,2000
fixsuite,org.fixsuite.message.view,DetailsPanel.ValidValuesListRender,38,0,0,0,6,0,2,0,2,0,scenario1,2000
fixsuite,org.fixsuite.message.view,ListView.DictionaryComboBoxModel,23,0,2,0,6,0,3,0,2,0,scenario1,2000
biblestudy,bible.servlet,Base.Options,210,0,6,0,59,0,22,0,19,0,scenario4,2000
biblestudy,bible.servlet,HTMLOutputStream,129,0,4,0,31,0,12,0,10,0,scenario4,2000
biblestudy,bible.servlet,Base,223,0,26,0,78,0,30,0,17,0,scenario4,2000
biblestudy,bible.servlet,ServletConnection,474,0,34,0,110,0,53,0,36,0,scenario4,2000
biblestudy,bible.servlet,ServletUtil,56,0,14,0,15,0,14,0,7,0,scenario4,2000
biblestudy,bible.servlet,URLRequestLog,80,0,2,0,9,0,5,0,4,0,scenario4,2000
biblestudy,bible.util,LookAheadStringTokenizer,99,0,14,0,30,0,16,0,9,0,scenario4,2000
biblestudy,bible.util,Queue.Node,0,9,0,0,0,3,0,1,0,1,scenario4,2000
biblestudy,bible.util,Database,695,0,44,0,147,0,48,0,26,0,scenario4,2000
biblestudy,bible.util,DbConnectionBroker,536,0,46,0,97,0,38,0,15,0,scenario4,2000
biblestudy,bible.util,Options,226,0,12,0,49,0,16,0,10,0,scenario4,2000
biblestudy,bible.util,Logger,335,0,24,0,83,0,27,0,15,0,scenario4,2000
biblestudy,bible.util,Queue,78,193,8,22,10,50,10,17,5,7,scenario4,2000
biblestudy,bible.util,DbConnectionAttributes,329,0,26,0,66,0,43,0,29,0,scenario4,2000
biblestudy,bible.util,DbResult,244,0,8,0,63,0,22,0,18,0,scenario4,2000
biblestudy,bible.util,Util,475,0,44,0,97,0,41,0,19,0,scenario4,2000
biblestudy,bible.obj,Translation,175,0,16,0,49,0,21,0,13,0,scenario4,2000
biblestudy,bible.obj,Reference,128,0,2,0,25,0,12,0,11,0,scenario4,2000
biblestudy,bible.obj,References,290,0,26,0,58,0,17,0,4,0,scenario4,2000
biblestudy,bible.obj,Book,153,0,12,0,34,0,16,0,10,0,scenario4,2000
biblestudy,bible.obj,ReferenceRange,52,0,0,0,12,0,7,0,7,0,scenario4,2000
biblestudy,bible.obj,Verse,461,0,24,0,83,0,28,0,16,0,scenario4,2000
biblestudy,bible.obj,TranslationReference,51,0,0,0,8,0,5,0,5,0,scenario4,2000
templateit,org.templateit,OpMatcher,206,0,44,0,59,0,29,0,7,0,original,2000
templateit,org.templateit,Parameter,37,0,0,0,15,0,9,0,9,0,original,2000
templateit,org.templateit,TemplateProcessor.Operation,74,0,0,0,2,0,1,0,1,0,original,2000
templateit,org.templateit,DynamicTemplate,150,0,18,0,30,0,15,0,6,0,original,2000
templateit,org.templateit,TemplateProcessor,438,0,58,0,95,0,45,0,16,0,original,2000
templateit,org.templateit,Region,119,0,24,0,23,0,21,0,9,0,original,2000
templateit,org.templateit,NamedStyle,46,0,0,0,13,0,8,0,8,0,original,2000
templateit,org.templateit,WorkbookParser,392,0,50,0,80,0,31,0,6,0,original,2000
templateit,org.templateit,TemplateIt,140,0,6,0,29,0,7,0,4,0,original,2000
templateit,org.templateit,TemplateSheet,195,0,12,0,47,0,20,0,14,0,original,2000
templateit,org.templateit,TemplateProcessor.SheetGenerator,915,0,91,0,218,0,66,0,16,0,original,2000
templateit,org.templateit,Reference,83,0,10,0,24,0,11,0,6,0,original,2000
templateit,org.templateit,PdfWriter.MergeData,82,0,6,0,16,0,6,0,3,0,original,2000
templateit,org.templateit,StaticTemplate,378,0,40,0,81,0,44,0,24,0,original,2000
templateit,org.templateit,TemplateWorkbook,40,0,2,0,9,0,5,0,4,0,original,2000
templateit,org.templateit,MergeRegion,5,0,0,0,2,0,1,0,1,0,original,2000
templateit,org.templateit,Poi2ItextUtil,382,0,54,0,88,0,43,0,12,0,original,2000
templateit,org.templateit,Template,255,0,24,0,56,0,24,0,12,0,original,2000
templateit,org.templateit,PdfWriter,763,0,57,0,153,0,45,0,15,0,original,2000
templateit,org.templateit.util,DelimitedFileReader,73,0,8,0,23,0,9,0,5,0,original,2000
templateit,org.templateit.util,FormulaUtil,114,0,26,0,28,0,17,0,4,0,original,2000
templateit,org.apache.poi.hssf.usermodel,HSSFDataFormat,419,0,32,0,102,0,25,0,9,0,original,2000
omjstate,uk.me.jockmacmad.jstate.predicate,EvaluationNotPossibleException,7,0,0,0,4,0,2,0,2,0,scenario4,2000
omjstate,uk.me.jockmacmad.jstate.tools,Statemachine2Java,458,0,8,0,107,0,14,0,10,0,scenario4,2000
omjstate,uk.me.jockmacmad.jstate.state,InvalidMethodInStateException,7,0,0,0,4,0,2,0,2,0,scenario4,2000
omjstate,uk.me.jockmacmad.jstate.state,StringMatchesGuardCondition,36,0,2,0,14,0,5,0,4,0,scenario4,2000
omjstate,uk.me.jockmacmad.jstate.state,Event,35,0,0,0,12,0,6,0,6,0,scenario4,2000
omjstate,uk.me.jockmacmad.jstate.state,EndState,21,0,0,0,7,0,7,0,7,0,scenario4,2000
omjstate,uk.me.jockmacmad.jstate.state,MethodNotPresentException,4,0,0,0,2,0,1,0,1,0,scenario4,2000
omjstate,uk.me.jockmacmad.jstate.state,StartState,18,0,0,0,6,0,6,0,6,0,scenario4,2000
omjstate,uk.me.jockmacmad.jstate.state,StateMachineNotCompleteException,7,0,0,0,4,0,2,0,2,0,scenario4,2000
omjstate,uk.me.jockmacmad.jstate.state,IntegerGreaterThanGuardCondition,39,0,2,0,16,0,5,0,4,0,scenario4,2000
omjstate,uk.me.jockmacmad.jstate.state,StateMachine,172,0,22,0,42,0,17,0,6,0,scenario4,2000
omjstate,uk.me.jockmacmad.jstate.state,Transition,133,0,18,0,40,0,21,0,12,0,scenario4,2000
omjstate,uk.me.jockmacmad.jstate.state,NonDeterministicException,7,0,0,0,4,0,2,0,2,0,scenario4,2000
omjstate,uk.me.jockmacmad.jstate.patterns,SingletonConstructionException,7,0,0,0,4,0,2,0,2,0,scenario4,2000
javathena,org.javathena.core.data,Friend,33,0,0,0,14,0,7,0,7,0,scenario4,2000
javathena,org.javathena.core.data,Hotkey,33,0,0,0,14,0,7,0,7,0,scenario4,2000
javathena,org.javathena.core.data,Socket_data,351,0,22,0,133,0,55,0,44,0,scenario4,2000
javathena,org.javathena.core.data,SubNetConf,31,0,0,0,14,0,9,0,9,0,scenario4,2000
javathena,org.javathena.core.data,IndexedFastMap,40,0,0,0,13,0,6,0,6,0,scenario4,2000
javathena,org.javathena.core.data,Auth_data,299,0,12,0,92,0,50,0,44,0,scenario4,2000
javathena,org.javathena.core.data,ROCharacter.JOB,1046,0,80,0,90,0,83,0,4,0,scenario4,2000
javathena,org.javathena.core.data,Item,74,0,0,0,30,0,19,0,19,0,scenario4,2000
javathena,org.javathena.core.data,Skill,28,0,0,0,12,0,7,0,7,0,scenario4,2000
javathena,org.javathena.core.data,Packet,370,0,34,0,50,0,35,0,18,0,scenario4,2000
javathena,org.javathena.core.data,Point,33,0,0,0,14,0,7,0,7,0,scenario4,2000
javathena,org.javathena.core.data,ROCharacter,551,0,0,0,221,0,141,0,141,0,scenario4,2000
javathena,org.javathena.core.data,SessionType,63,0,0,0,11,0,4,0,4,0,scenario4,2000
javathena,org.character.data,MalformedDataException,4,0,0,0,2,0,1,0,1,0,scenario4,2000
javathena,org.character.data,XMLCharacter,74,0,2,0,15,0,4,0,3,0,scenario4,2000
javathena,org.character.data,TXTCharacter,943,0,58,0,159,0,35,0,6,0,scenario4,2000
javathena,org.character.data.map,MapServerConnection,23,0,0,0,7,0,3,0,3,0,scenario4,2000
javathena,org.character.data.map,TXTMapPersistence,140,0,14,0,31,0,12,0,5,0,scenario4,2000
javathena,org.character.data.map,XMLMapPersistence,94,0,2,0,21,0,6,0,5,0,scenario4,2000
javathena,org.character.data.map,MapIndex,71,0,2,0,25,0,9,0,8,0,scenario4,2000
javathena,org.javathena.data,MySQLDBManagement,44,0,0,0,18,0,11,0,11,0,scenario4,2000
javathena,org.javathena.data,TXTDBManagement,32,0,0,0,14,0,10,0,10,0,scenario4,2000
javathena,org.javathena.data,XMLDBManagementLogin,10,0,0,0,5,0,4,0,4,0,scenario4,2000
javathena,org.javathena.data,ATHENA_SERVER,75,0,0,0,12,0,3,0,3,0,scenario4,2000
javathena,org.character.parse,FromClient,73,0,0,0,16,0,3,0,3,0,scenario4,2000
javathena,org.character.data.subnet,TXTSubnet,104,0,8,0,30,0,9,0,5,0,scenario4,2000
javathena,org.character.data.subnet,XMLSubnet,81,0,2,0,16,0,6,0,5,0,scenario4,2000
javathena,org.character.data.subnet,Subnet,116,0,0,0,29,0,15,0,15,0,scenario4,2000
javathena,org.character.net.packet,ClientConnect,8,0,0,0,3,0,2,0,2,0,scenario4,2000
javathena,org.javathena.login,Login.Timer_interval_check_auth_sync,11,0,0,0,4,0,2,0,2,0,scenario4,2000
javathena,org.javathena.login,Login,2127,0,190,0,509,0,147,0,38,0,scenario4,2000
javathena,org.javathena.login,Login.End,10,0,0,0,4,0,2,0,2,0,scenario4,2000
javathena,org.javathena.login,Login.ConnectionListener,59,0,2,0,23,0,4,0,3,0,scenario4,2000
javathena,org.javathena.login,UserManagement,4255,0,280,0,911,0,216,0,66,0,scenario4,2000
javathena,org.character.data.config,CharConfig,391,0,4,0,169,0,107,0,105,0,scenario4,2000
javathena,org.character.data.config,XMLCharConfig,81,0,2,0,18,0,6,0,5,0,scenario4,2000
javathena,org.character.data.config,TXTCharConfig,865,0,84,0,86,0,47,0,5,0,scenario4,2000
javathena,org.javathena.login.sql.data,Auth_data_SQL,665,0,16,0,116,0,21,0,13,0,scenario4,2000
javathena,org.javathena.core.net,SessionPacket,145,0,12,0,28,0,15,0,9,0,scenario4,2000
javathena,org.javathena.core.utiles,Functions,1386,0,130,0,246,0,119,0,52,0,scenario4,2000
javathena,org.javathena.core.utiles,Constants.MAPID,734,0,0,0,82,0,6,0,6,0,scenario4,2000
javathena,org.javathena.core.utiles,Constants.RACE,134,0,0,0,14,0,1,0,1,0,scenario4,2000
javathena,org.javathena.core.utiles,Constants.ITEM_GROUP,397,0,0,0,49,0,6,0,6,0,scenario4,2000
javathena,org.javathena.core.utiles,Constants,146,0,38,0,30,0,22,0,3,0,scenario4,2000
javathena,org.javathena.core.utiles,ACO,57,0,0,0,9,0,3,0,3,0,scenario4,2000
javathena,org.javathena.core.utiles,MultilanguageManagement,1261,0,4,0,361,0,176,0,174,0,scenario4,2000
javathena,org.javathena.core.utiles,Constants.SUBTYPE,44,0,0,0,2,0,1,0,1,0,scenario4,2000
javathena,org.javathena.core.utiles,Version,3,0,0,0,1,0,1,0,1,0,scenario4,2000
javathena,org.javathena.core.utiles,Constants.JOB,797,0,0,0,89,0,6,0,6,0,scenario4,2000
javathena,org.javathena.core.utiles,Constants.BL,114,0,0,0,14,0,3,0,3,0,scenario4,2000
javathena,org.javathena.core.utiles,Constants.ELEMENT,114,0,0,0,12,0,1,0,1,0,scenario4,2000
javathena,org.character,CharServer,23,0,0,0,10,0,3,0,3,0,scenario4,2000
javathena,org.javathena.utiles,ConfigurationManagement,1181,0,132,0,249,0,130,0,64,0,scenario4,2000
javathena,org.javathena.utiles.sql,MySQLConfig,580,0,48,0,170,0,71,0,47,0,scenario4,2000
javathena,org.javathena.conf,ConfigurationEditorGUI,1896,0,10,0,451,0,18,0,13,0,scenario4,2000
javathena,org.javathena.conf,ConfigurationEditorGUI.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0,scenario4,2000
javathena,org.javathena.conf,ConfigurationEditorGUI.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0,scenario4,2000
javathena,org.javathena.conf,ConfigurationEditorGUI.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0,scenario4,2000
javathena,org.javathena.conf,ConfigurationEditorGUI.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0,scenario4,2000
javathena,org.javathena.conf,ConfigurationEditorGUI.new MouseAdapter() {...},11,0,0,0,3,0,2,0,2,0,scenario4,2000
javathena,org.javathena.conf,FiltreSimple,35,0,6,0,11,0,6,0,3,0,scenario4,2000
javathena,org.javathena.conf,LoginAthena,315,0,2,0,117,0,70,0,69,0,scenario4,2000
javathena,org.javathena,Main,34,0,4,0,13,0,5,0,3,0,scenario4,2000
javathena,org.javathena.login.parse,FromAdmin,253,0,29,0,44,0,29,0,3,0,scenario4,2000
javathena,org.javathena.login.parse,FromChar,120,0,21,0,48,0,21,0,2,0,scenario4,2000
javathena,org.javathena.login.parse,FromClient,195,0,32,0,61,0,25,0,2,0,scenario4,2000
asphodel,org.asphodel.analyzer,SimpleAnalyzer.SimpleTokenizer,72,0,4,0,21,0,4,0,2,0,scenario1,2000
asphodel,org.asphodel.analyzer,SimpleAnalyzer,12,0,0,0,3,0,2,0,2,0,scenario1,2000
asphodel,org.asphodel,AsphodelServiceLocator,20,0,0,0,5,0,5,0,5,0,scenario1,2000
asphodel,org.asphodel,FtrException,16,0,0,0,8,0,4,0,4,0,scenario1,2000
asphodel,org.asphodel,FtrConstants,3,0,0,0,1,0,1,0,1,0,scenario1,2000
asphodel,org.asphodel,DefaultRepositoryManager,293,0,34,0,74,0,32,0,15,0,scenario1,2000
asphodel,org.asphodel,AsphodelConfig,16,0,0,0,6,0,5,0,5,0,scenario1,2000
asphodel,org.asphodel.search,DefaultSearchEngine,194,0,6,0,42,0,9,0,6,0,scenario1,2000
asphodel,org.asphodel.search,QueryCommand,44,0,0,0,19,0,11,0,11,0,scenario1,2000
asphodel,org.asphodel.search,FtrSearchResult,31,0,2,0,11,0,7,0,6,0,scenario1,2000
asphodel,org.asphodel.search,FtrRecord,46,0,0,0,17,0,11,0,11,0,scenario1,2000
asphodel,org.asphodel.index,DefaultIndexEngine,197,0,14,0,47,0,14,0,7,0,scenario1,2000
asphodel,org.asphodel.index,PlainTextStringContent,9,0,0,0,4,0,2,0,2,0,scenario1,2000
asphodel,org.asphodel.index,IndexeeContent,3,0,0,0,1,0,1,0,1,0,scenario1,2000
asphodel,org.asphodel.index,Indexee,39,0,2,0,14,0,9,0,8,0,scenario1,2000
asphodel,org.asphodel.index,InputStreamContent,8,0,0,0,4,0,2,0,2,0,scenario1,2000
asphodel,org.asphodel.index,HtmlStringContent,15,0,0,0,5,0,2,0,2,0,scenario1,2000
asphodel,org.asphodel.index,StreamContent,3,0,0,0,1,0,1,0,1,0,scenario1,2000
asphodel,org.asphodel.parser,HtmlContentParser,54,15,0,0,15,4,3,3,3,3,scenario1,2000
asphodel,org.asphodel.parser,ContentParserException,16,0,0,0,8,0,4,0,4,0,scenario1,2000
lilith,de.huxhorn.lilith.swing.taskmanager,TaskManagerPanel.TaskTableMouseListener,82,0,14,0,22,0,14,0,7,0,original,2000
lilith,de.huxhorn.lilith.swing.taskmanager,TaskManagerPanel,173,0,8,0,40,0,9,0,5,0,original,2000
lilith,de.huxhorn.lilith.swing.taskmanager,TaskManagerPanel.TaskSelectionListener,43,0,4,0,10,0,4,0,2,0,original,2000
lilith,de.huxhorn.lilith.swing.taskmanager,TaskManagerInternalFrame,28,0,0,0,6,0,1,0,1,0,original,2000
lilith,de.huxhorn.lilith.swing.taskmanager,TaskManagerPanel.CancelTaskAction,55,0,6,0,14,0,7,0,4,0,original,2000
lilith,de.huxhorn.lilith.engine.impl.sourceproducer,AccessEventProtobufServerSocketEventSourceProducer,36,0,0,0,6,0,4,0,4,0,original,2000
lilith,de.huxhorn.lilith.engine.impl.sourceproducer,LoggingEventProtobufServerSocketEventSourceProducer,36,0,0,0,6,0,4,0,4,0,original,2000
lilith,de.huxhorn.lilith.engine.impl.sourceproducer,SerializingMessageBasedServerSocketEventSourceProducer,40,0,0,0,7,0,4,0,4,0,original,2000
lilith,de.huxhorn.lilith.engine.impl.sourceproducer,AbstractServerSocketEventSourceProducer,154,0,12,0,45,0,14,0,8,0,original,2000
lilith,de.huxhorn.lilith.data.logging,ExtendedStackTraceElement,629,0,106,0,135,0,80,0,27,0,original,2000
lilith,de.huxhorn.lilith.data.logging,ThreadInfo,210,0,38,0,35,0,33,0,14,0,original,2000
lilith,de.huxhorn.lilith.data.logging,ThreadGroupInfo,90,0,22,0,16,0,18,0,7,0,original,2000
lilith,de.huxhorn.lilith.data.logging,MessageFormatter.ArgumentResult,153,0,26,0,30,0,19,0,6,0,original,2000
lilith,de.huxhorn.lilith.data.logging,ThrowableInfo,243,0,44,0,45,0,37,0,15,0,original,2000
lilith,de.huxhorn.lilith.data.logging,LoggingEvents,118,0,24,0,22,0,21,0,9,0,original,2000
lilith,de.huxhorn.lilith.data.logging,LoggingEvent,416,0,78,0,75,0,67,0,28,0,original,2000
